Cow#,Short Name,Calved,Lact#,Age (mths),Milk PI,Protein PI,Fat PI,Milk,Fat Kg,Fat %,Protein Kg,Protein %,SCC,Cow#_1,DIM,LTD Milk,LTD Protein Kg,LTD Protein %,LTD Fat Kg,LTD Fat %,Tests,Peak SCC,Peak SCC Date,Influence
4830,4830,08/08/2016,1,41,97,94,96,17,0.92,5.44,0.69,4.06,94,4830,430,9502,328,3.45,424,4.46,15,158,14/02/2017,
4831,4831,06/08/2016,1,41,83,88,96,12,0.77,6.44,0.56,4.64,34,4831,432,7684,297,3.87,418,5.44,15,40,15/08/2017,
4832,4832,20/08/2017,2,53,78,81,65,25,0.68,2.72,0.75,2.98,15,4832,53,1325,40,3.02,26,1.96,2,15,12/10/2017,
4833,4833,07/08/2017,2,53,96,95,90,28,1.07,3.83,0.9,3.21,22,4833,66,1912,65,3.4,74,3.87,3,86,15/08/2017,
4834,4834,04/08/2017,2,52,68,80,75,18,0.93,5.16,0.76,4.23,99,4834,69,1657,58,3.5,65,3.92,3,99,12/10/2017,
4836,4836,10/08/2017,2,53,106,99,85,32,1.24,3.86,0.95,2.96,9,4836,63,2046,67,3.27,69,3.37,3,178,15/08/2017,
4837,4837,02/09/2016,1,41,99,100,82,15,0.89,5.96,0.67,4.49,25,4837,405,8468,302,3.57,340,4.02,14,250,14/02/2017,
4841,4841,12/07/2017,2,,,,,27,1.06,3.91,0.82,3.03,16,4841,92,2866,91,3.18,117,4.08,4,72,18/07/2017,
4843,4843,22/08/2017,2,53,105,104,100,29,1.17,4.05,0.93,3.19,6,4843,51,1911,64,3.35,67,3.51,2,10,12/09/2017,
4844,4844,17/08/2017,2,53,97,99,109,28,1.39,4.98,0.9,3.23,24,4844,56,1814,62,3.42,81,4.47,2,28,12/09/2017,
4845,4845,04/08/2016,1,40,93,89,94,16,0.88,5.53,0.64,3.99,47,4845,434,8692,298,3.43,393,4.52,15,148,15/08/2017,
4846,4846,27/08/2017,2,53,92,90,95,27,1.27,4.7,0.77,2.85,30,4846,46,1335,43,3.22,49,3.67,2,30,12/10/2017,
4847,4847,03/08/2016,1,40,99,88,84,19,0.82,4.34,0.69,3.65,30,4847,435,9434,299,3.17,369,3.91,15,70,09/11/2016,
4848,4848,04/08/2017,2,51,83,83,93,24,1.34,5.57,0.69,2.86,12,4848,69,1685,57,3.38,77,4.57,3,74,15/08/2017,
4849,4849,10/08/2016,1,38,98,96,96,20,1.04,5.2,0.76,3.82,12,4849,428,9168,315,3.44,396,4.32,15,87,07/04/2017,
4850,4850,28/07/2017,2,49,99,95,86,27,1.15,4.25,0.81,3,65,4850,76,2322,75,3.23,78,3.36,3,75,12/09/2017,
4851,4851,21/08/2017,2,50,97,96,88,29,1.13,3.89,0.92,3.17,7,4851,52,1582,50,3.16,46,2.91,2,18,12/09/2017,
4852,4852,01/09/2016,1,38,77,75,68,10,0.5,5.01,0.36,3.62,38,4852,406,7378,245,3.32,306,4.15,14,86,07/04/2017,
4853,4853,11/07/2017,2,48,66,78,81,18,1,5.53,0.68,3.76,86,4853,93,1734,71,4.09,89,5.13,4,395,18/07/2017,
4854,4854,13/08/2016,1,37,89,84,78,12,0.55,4.6,0.46,3.82,32,4854,425,7862,257,3.27,308,3.92,15,488,16/08/2016,
4855,4855,04/08/2016,1,37,91,84,69,12,0.57,4.79,0.47,3.91,253,4855,434,8425,279,3.31,310,3.68,15,627,18/01/2017,
4857,4857,02/08/2016,1,37,94,97,87,16,0.78,4.9,0.72,4.52,92,4857,436,9036,331,3.66,381,4.22,15,94,16/06/2017,
4859,4859,25/08/2017,2,50,105,97,94,34,1.33,3.92,0.95,2.8,31,4859,48,1467,46,3.14,46,3.14,2,36,12/09/2017,
4861,4861,02/08/2016,1,37,108,103,107,18,0.9,4.99,0.68,3.79,31,4861,436,10442,358,3.43,460,4.41,15,113,18/01/2017,
4866,4866,08/08/2017,2,48,82,86,89,23,0.99,4.32,0.73,3.17,14,4866,65,1569,55,3.51,70,4.46,3,273,15/08/2017,
4868,4868,06/08/2016,1,36,89,85,85,12,0.61,5.05,0.5,4.2,25,4868,432,8348,289,3.46,367,4.4,15,228,14/02/2017,
4869,4869,24/07/2017,2,48,91,88,79,26,0.95,3.64,0.73,2.82,12,4869,80,2102,70,3.33,73,3.47,3,18,15/08/2017,
4870,4870,11/08/2017,2,48,96,93,98,26,1.06,4.07,0.75,2.88,8,4870,62,1747,56,3.21,70,4.01,3,69,15/08/2017,
4871,4871,25/08/2017,2,49,101,100,100,30,1.31,4.35,0.93,3.1,198,4871,48,1506,51,3.39,57,3.78,2,198,12/10/2017,
4872,4872,25/07/2017,2,48,90,91,110,27,1.63,6.04,0.88,3.26,15,4872,79,1981,67,3.38,101,5.1,3,635,15/08/2017,
4873,4873,05/08/2016,1,36,85,78,75,15,0.72,4.77,0.57,3.81,85,4873,433,8010,260,3.25,327,4.08,15,92,09/11/2016,
4874,4874,25/08/2017,2,49,87,86,87,26,1.04,4,0.73,2.82,46,4874,48,1215,38,3.13,44,3.62,2,89,12/09/2017,
4875,4875,17/08/2017,2,48,81,85,96,23,1.18,5.13,0.71,3.09,31,4875,56,1329,44,3.31,62,4.67,2,31,12/10/2017,
4878,4878,14/08/2017,2,48,92,86,108,27,1.31,4.87,0.75,2.77,18,4878,59,1578,40,2.53,107,6.78,3,53,12/09/2017,
4879,4879,22/08/2017,2,48,99,94,98,28,1.1,3.94,0.79,2.81,42,4879,51,1644,53,3.22,64,3.89,2,42,12/10/2017,
4880,4880,08/08/2017,2,48,100,96,99,28,1.29,4.6,0.79,2.82,101,4880,65,1971,67,3.4,78,3.96,3,101,12/10/2017,
4881,4881,23/08/2017,2,48,93,95,102,30,1.43,4.76,0.97,3.24,18,4881,50,1255,43,3.43,57,4.54,2,21,12/09/2017,
4882,4882,31/07/2017,2,48,80,85,90,22,1.1,5.02,0.73,3.31,17,4882,73,1693,60,3.54,78,4.61,3,26,15/08/2017,
4883,4883,24/08/2017,2,48,77,86,91,21,1.05,5.02,0.7,3.33,24,4883,49,1131,42,3.71,51,4.51,2,1659,12/09/2017,
4885,4885,21/09/2017,2,49,96,93,111,27,1.71,6.33,0.77,2.87,34,4885,21,567,16,2.82,36,6.35,1,34,12/10/2017,
4886,4886,02/08/2017,2,48,66,73,88,20,1.08,5.41,0.65,3.23,45,4886,71,1370,47,3.43,73,5.33,3,65,15/08/2017,
4887,4887,22/08/2017,2,48,76,81,96,21,1.19,5.65,0.63,3.02,105,4887,51,1107,37,3.34,57,5.15,2,105,12/10/2017,
4888,4888,13/09/2017,2,49,87,94,97,23,1.2,5.22,0.79,3.43,251,4888,29,667,23,3.45,35,5.25,1,251,12/10/2017,
4889,4889,19/10/2016,1,38,81,81,85,10,0.68,6.78,0.44,4.42,85,4889,358,6096,213,3.49,294,4.82,12,121,15/08/2017,
4890,4890,14/08/2017,2,48,90,90,90,25,0.89,3.56,0.73,2.9,49,4890,59,1500,48,3.2,70,4.67,3,74,12/09/2017,
4891,4891,03/08/2017,2,48,64,71,67,21,0.97,4.61,0.68,3.24,12,4891,70,1372,46,3.35,51,3.72,3,40,15/08/2017,
4893,4893,16/09/2017,2,49,95,98,102,27,1.37,5.06,0.88,3.26,212,4893,26,702,23,3.28,36,5.13,1,212,12/10/2017,
4894,4894,15/08/2017,2,48,83,85,87,23,1.04,4.5,0.69,2.98,35,4894,58,1463,48,3.28,51,3.49,2,42,12/09/2017,
4895,4895,18/09/2017,2,49,94,95,95,26,1.11,4.28,0.8,3.08,49,4895,24,624,19,3.04,27,4.33,1,49,12/10/2017,
4896,4896,25/08/2017,2,48,85,87,97,23,1.22,5.32,0.7,3.05,35,4896,48,1269,41,3.23,54,4.26,2,35,12/10/2017,
4897,4897,08/08/2017,2,48,73,77,87,19,1.05,5.55,0.54,2.82,88,4897,65,1401,50,3.57,68,4.85,3,88,12/10/2017,
4898,4898,05/08/2017,2,48,81,91,89,26,1.08,4.14,0.97,3.73,966,4898,68,1489,57,3.83,72,4.84,3,1076,12/09/2017,
4899,4899,24/08/2017,2,48,99,96,101,31,1.32,4.25,0.94,3.03,43,4899,49,1417,45,3.18,58,4.09,2,119,12/09/2017,
4900,4900,05/08/2017,2,48,84,84,78,25,0.98,3.91,0.82,3.29,15,4900,68,1595,52,3.26,57,3.57,3,133,15/08/2017,
4901,4901,08/08/2017,2,48,69,80,62,22,0.59,2.68,0.7,3.18,15,4901,65,1178,48,4.07,40,3.4,3,5096,15/08/2017,
4902,4902,03/08/2017,2,48,88,83,86,24,1.04,4.35,0.64,2.68,20,4902,70,1828,58,3.17,70,3.83,3,32,15/08/2017,
4903,4903,01/09/2017,2,48,82,87,91,24,1.09,4.56,0.73,3.03,291,4903,41,932,34,3.65,42,4.51,2,291,12/10/2017,
4905,4905,10/08/2017,2,48,91,99,89,25,0.9,3.6,0.9,3.6,78,4905,63,1749,64,3.66,65,3.72,3,286,12/09/2017,
4906,4906,02/08/2016,1,35,82,86,86,14,0.8,5.68,0.59,4.24,18,4906,436,7987,299,3.74,378,4.73,15,58,08/09/2016,
4908,4908,10/08/2017,2,48,87,92,102,25,1.35,5.39,0.83,3.32,17,4908,63,1461,53,3.63,75,5.13,3,192,15/08/2017,
4910,4910,19/08/2017,2,48,81,81,85,23,0.93,4.04,0.65,2.81,56,4910,54,1242,39,3.14,49,3.95,2,1646,12/09/2017,
4911,4911,22/07/2017,2,47,107,108,91,30,1.08,3.6,1.08,3.6,78,4911,82,2634,88,3.34,92,3.49,3,78,12/10/2017,
4913,4913,23/08/2017,2,48,72,79,81,20,0.81,4.07,0.61,3.06,17,4913,50,1000,34,3.4,42,4.2,2,49,12/09/2017,
4914,4914,11/08/2017,2,47,95,94,79,27,0.82,3.04,0.82,3.04,61,4914,62,1700,57,3.35,56,3.29,3,1201,15/08/2017,
4916,4916,07/08/2017,2,47,69,71,78,19,0.92,4.83,0.59,3.09,102,4916,66,1274,41,3.22,55,4.32,3,176,15/08/2017,
4917,4917,21/08/2017,2,48,95,93,93,26,1.1,4.24,0.77,2.97,50,4917,52,1648,52,3.16,55,3.34,2,50,12/10/2017,
4918,4918,28/08/2017,2,48,74,82,86,21,0.99,4.71,0.64,3.06,12,4918,45,1185,41,3.46,51,4.3,2,26,12/09/2017,
4921,4921,04/08/2017,2,47,89,87,93,25,1.16,4.65,0.72,2.88,65,4921,69,1820,59,3.24,77,4.23,3,138,15/08/2017,
4922,4922,08/08/2017,2,47,92,88,105,26,1.19,4.58,0.77,2.98,30,4922,65,1767,56,3.17,88,4.98,3,187,15/08/2017,
4923,4923,22/08/2017,2,48,79,85,81,25,0.89,3.54,0.8,3.2,34,4923,51,1167,39,3.34,42,3.6,2,35,12/09/2017,
4924,4924,04/08/2017,2,47,80,85,86,24,1.05,4.37,0.75,3.14,77,4924,69,1514,56,3.7,67,4.43,3,2450,15/08/2017,
4925,4925,04/08/2017,2,47,101,105,98,31,1.25,4.03,1.05,3.38,34,4925,69,1989,73,3.67,81,4.07,3,40,15/08/2017,
4926,4926,29/09/2017,2,49,88,92,96,22,1.16,5.29,0.74,3.36,27,4926,13,286,10,3.5,15,5.24,1,27,12/10/2017,
4927,4927,05/08/2017,2,47,81,85,83,24,1.01,4.22,0.74,3.09,48,4927,68,1546,55,3.56,63,4.08,3,119,15/08/2017,
4928,4928,07/08/2017,2,47,85,84,84,26,1.11,4.26,0.8,3.09,144,4928,66,1555,51,3.28,61,3.92,3,144,12/10/2017,
4929,4929,04/08/2017,2,47,85,81,86,23,0.89,3.85,0.65,2.82,60,4929,69,1744,54,3.1,71,4.07,3,278,15/08/2017,
4930,4930,05/08/2017,2,47,89,81,89,26,1.01,3.9,0.72,2.77,253,4930,68,1735,51,2.94,73,4.21,3,253,12/10/2017,
4931,4931,27/08/2017,2,47,93,91,97,24,0.96,3.98,0.68,2.85,79,4931,46,1445,47,3.25,59,4.08,2,79,12/10/2017,
4933,4933,03/08/2017,2,47,70,76,87,17,0.96,5.65,0.53,3.09,18,4933,70,1477,51,3.45,72,4.87,3,47,15/08/2017,
4934,4934,28/08/2017,2,47,82,90,84,25,1.02,4.09,0.86,3.42,33,4934,45,975,36,3.69,37,3.79,2,33,12/10/2017,
4935,4935,22/08/2017,2,47,60,72,74,16,0.86,5.39,0.52,3.27,52,4935,51,888,29,3.27,31,3.49,2,52,12/10/2017,
4936,4936,19/08/2017,2,46,107,103,96,32,1.09,3.42,1,3.11,11,4936,54,1806,58,3.21,63,3.49,2,36,12/09/2017,
4937,4937,08/08/2017,2,45,64,71,70,21,0.92,4.37,0.66,3.13,51,4937,65,1260,44,3.49,53,4.21,3,51,12/10/2017,
4938,4938,08/08/2017,1,42,52,64,66,10,0.59,5.87,0.35,3.47,21,4938,65,979,36,3.68,44,4.49,3,287,15/08/2017,
4939,4939,14/08/2017,1,42,84,87,85,27,1.07,3.98,0.82,3.04,28,4939,59,1549,50,3.23,55,3.55,2,28,12/10/2017,
4940,4940,15/08/2017,1,42,95,100,108,26,1.38,5.31,0.9,3.45,48,4940,58,1680,60,3.57,73,4.35,2,48,12/10/2017,
4941,4941,31/07/2017,1,42,92,88,85,25,1.04,4.14,0.77,3.09,28,4941,73,1912,59,3.09,70,3.66,3,88,15/08/2017,
4942,4942,06/09/2017,1,43,47,62,65,5,0.27,5.4,0.17,3.4,61,4942,36,474,18,3.8,21,4.43,2,116,12/09/2017,
4944,4944,30/07/2017,1,41,101,95,99,26,1.13,4.33,0.79,3.05,93,4944,74,2247,69,3.07,89,3.96,3,163,12/09/2017,
4945,4945,23/08/2017,1,42,104,97,100,29,1.2,4.15,0.78,2.7,16,4945,50,1660,53,3.19,58,3.49,2,16,12/10/2017,
4946,4946,19/08/2017,1,42,95,95,90,27,1.06,3.93,0.85,3.13,11,4946,54,1536,50,3.26,49,3.19,2,15,12/09/2017,
4947,4947,13/09/2017,1,43,95,96,101,26,1.29,4.96,0.8,3.08,127,4947,29,754,23,3.05,37,4.91,1,127,12/10/2017,
4948,4948,04/08/2017,1,42,86,80,86,22,0.89,4.06,0.58,2.62,43,4948,69,1721,52,3.02,68,3.95,3,91,15/08/2017,
4950,4950,21/08/2017,1,42,73,79,80,20,0.89,4.43,0.6,2.99,26,4950,52,1003,34,3.39,36,3.59,2,26,12/10/2017,
4951,4951,06/08/2017,1,42,89,86,97,25,1.07,4.26,0.75,3.01,44,4951,67,1658,53,3.2,79,4.76,3,66,15/08/2017,
4952,4952,29/08/2017,1,42,78,81,87,24,1.15,4.78,0.74,3.07,27,4952,44,795,27,3.4,35,4.4,2,66,12/09/2017,
4954,4954,08/08/2017,1,42,79,82,74,21,0.86,4.1,0.61,2.9,23,4954,65,1444,51,3.53,50,3.46,3,80,15/08/2017,
4955,4955,16/08/2017,1,42,88,93,93,23,1.03,4.46,0.74,3.21,21,4955,57,1563,54,3.45,59,3.77,2,21,12/10/2017,
4956,4956,03/08/2017,1,41,86,89,88,22,0.83,3.79,0.72,3.29,15,4956,70,1763,60,3.4,74,4.2,3,41,15/08/2017,
4958,4958,03/08/2017,1,41,66,70,71,22,0.94,4.29,0.65,2.97,30,4958,70,1355,44,3.25,56,4.13,3,33,15/08/2017,
4960,4960,10/08/2017,1,42,82,83,87,26,1.11,4.26,0.73,2.81,39,4960,63,1438,48,3.34,60,4.17,3,125,15/08/2017,
4962,4962,31/07/2017,1,41,91,91,84,26,0.94,3.61,0.83,3.2,99,4962,73,1840,62,3.37,68,3.7,3,123,15/08/2017,
4964,4964,07/08/2017,1,41,84,88,78,22,0.86,3.91,0.71,3.22,383,4964,66,1589,56,3.52,54,3.4,3,383,12/10/2017,
4965,4965,10/08/2017,1,42,93,93,95,25,1.02,4.09,0.78,3.11,94,4965,63,1596,54,3.38,70,4.39,3,116,15/08/2017,
4966,4966,18/08/2017,1,42,96,96,90,25,0.9,3.58,0.77,3.07,1589,4966,55,1735,56,3.23,57,3.29,2,1589,12/10/2017,
4971,4971,10/09/2017,1,42,91,91,90,24,0.89,3.7,0.68,2.84,31,4971,32,666,22,3.3,27,4.05,2,116,12/09/2017,
4973,4973,27/08/2017,1,42,80,84,77,22,0.79,3.57,0.67,3.04,19,4973,46,1012,34,3.36,31,3.06,2,32,12/09/2017,
4974,4974,08/08/2017,1,41,93,90,97,26,1.16,4.46,0.77,2.95,25,4974,65,1696,57,3.36,74,4.36,3,275,15/08/2017,
4977,4977,16/08/2017,1,42,93,94,89,27,1.01,3.74,0.86,3.17,13,4977,57,1455,48,3.3,51,3.51,2,15,12/09/2017,
4978,4978,22/08/2017,1,42,85,92,97,24,1.09,4.56,0.83,3.47,23,4978,51,1188,41,3.45,58,4.88,2,38,12/09/2017,
4980,4980,03/08/2017,1,41,93,92,86,28,1.04,3.7,0.87,3.12,54,4980,70,1735,58,3.34,64,3.69,3,81,15/08/2017,
4983,4983,10/08/2017,1,41,88,95,103,24,1.28,5.32,0.83,3.46,11,4983,63,1494,55,3.68,71,4.75,3,29,12/09/2017,
4986,4986,14/08/2017,1,41,88,88,90,23,0.87,3.79,0.66,2.87,21,4986,59,1681,40,2.38,91,5.41,3,32,12/09/2017,
4987,4987,30/07/2017,1,41,94,102,108,22,1.1,4.99,0.74,3.37,19,4987,74,2224,81,3.64,110,4.95,3,102,15/08/2017,
4989,4989,14/08/2017,1,41,80,80,84,21,0.86,4.1,0.56,2.69,19,4989,59,1206,46,3.81,45,3.73,3,23,12/09/2017,
4990,4990,07/08/2017,1,41,93,96,91,26,0.99,3.82,0.86,3.32,10,4990,66,1729,61,3.53,70,4.05,3,59,15/08/2017,
4991,4991,27/07/2017,1,41,75,76,78,19,0.7,3.67,0.58,3.04,11,4991,77,1604,51,3.18,67,4.18,3,30,15/08/2017,
4992,4992,21/08/2017,1,42,97,91,91,28,1.01,3.62,0.79,2.83,15,4992,52,1456,44,3.02,50,3.43,2,29,12/09/2017,
5000,5000,14/08/2017,1,41,86,91,91,23,1.05,4.58,0.75,3.26,1558,5000,59,1429,54,3.78,56,3.92,3,1558,12/10/2017,
5001,5001,09/08/2017,1,41,83,84,93,24,1.08,4.48,0.71,2.97,144,5001,64,1425,49,3.44,69,4.84,3,144,12/10/2017,
5003,5003,11/08/2017,1,41,96,98,107,27,1.3,4.82,0.88,3.27,15,5003,62,1523,55,3.61,73,4.79,3,229,15/08/2017,
5004,5004,17/08/2017,1,41,99,97,86,29,1.03,3.55,0.89,3.06,33,5004,56,1583,51,3.22,44,2.78,2,33,12/10/2017,
5005,5005,29/07/2017,1,41,87,83,86,22,0.96,4.37,0.64,2.89,20,5005,75,1884,57,3.03,71,3.77,3,41,15/08/2017,
5007,5007,23/08/2017,1,41,77,82,87,21,0.96,4.56,0.65,3.08,67,5007,50,1015,34,3.35,44,4.33,2,1940,12/09/2017,
5008,5008,02/10/2017,1,43,80,91,87,17,0.79,4.62,0.67,3.97,32,5008,10,170,7,4.12,8,4.71,1,32,12/10/2017,
5009,5009,04/08/2017,1,41,93,91,92,27,1,3.72,0.79,2.94,15,5009,69,1767,59,3.34,74,4.19,3,70,15/08/2017,
5010,5010,12/08/2017,1,41,87,92,99,23,1.1,4.79,0.77,3.36,299,5010,61,1417,51,3.6,66,4.66,3,299,12/10/2017,
5012,5012,23/08/2017,1,41,100,95,94,28,1.05,3.74,0.8,2.87,70,5012,50,1540,47,3.05,53,3.44,2,84,12/09/2017,
5014,5014,10/08/2017,1,41,82,88,95,21,1.03,4.9,0.67,3.2,48,5014,63,1316,46,3.5,60,4.56,3,72,12/09/2017,
5017,5017,04/08/2017,1,40,90,90,91,23,0.9,3.93,0.7,3.05,22,5017,69,1815,60,3.31,75,4.13,3,109,15/08/2017,
5018,5018,11/08/2017,1,41,91,93,98,23,1.05,4.55,0.69,3,32,5018,62,1597,54,3.38,66,4.13,3,104,15/08/2017,
5023,5023,19/08/2017,1,41,77,86,83,23,0.95,4.15,0.74,3.21,17,5023,54,1359,47,3.46,52,3.83,2,42,12/09/2017,
5025,5025,31/07/2017,1,40,117,104,112,31,1.17,3.78,0.84,2.71,20,5025,73,2582,77,2.98,109,4.22,3,2052,15/08/2017,
5028,5028,25/08/2017,1,41,86,84,86,24,0.86,3.6,0.68,2.82,16,5028,48,1152,34,2.95,43,3.73,2,2950,12/09/2017,
5029,5029,16/08/2017,1,40,99,93,96,30,1.18,3.92,0.88,2.93,36,5029,57,1500,45,3,56,3.73,2,52,12/09/2017,
5031,5031,15/08/2017,1,37,91,90,98,24,1.02,4.27,0.74,3.1,35,5031,58,1521,45,2.96,65,4.27,2,122,12/09/2017,
5033,5033,28/07/2017,1,36,62,77,75,19,0.99,5.19,0.74,3.92,22,5033,76,1223,47,3.84,54,4.42,3,36,15/08/2017,
5035,5035,12/08/2017,1,37,75,81,87,19,0.91,4.77,0.58,3.06,40,5035,61,1171,41,3.5,54,4.61,3,361,15/08/2017,
5037,5037,05/09/2017,1,38,86,85,86,25,1.02,4.09,0.72,2.88,31,5037,37,771,25,3.24,29,3.76,2,46,12/09/2017,
5038,5038,30/07/2017,1,36,79,82,90,23,1.06,4.6,0.68,2.97,31,5038,74,1760,58,3.3,84,4.77,3,34,15/08/2017,
5039,5039,06/08/2017,1,37,74,78,74,19,0.77,4.06,0.55,2.88,62,5039,67,1592,52,3.27,57,3.58,3,62,12/10/2017,
5040,5040,29/07/2017,1,36,84,94,84,21,0.88,4.2,0.78,3.7,20,5040,75,1689,63,3.73,67,3.97,3,94,15/08/2017,
5044,5044,03/08/2017,1,36,102,98,95,27,1.01,3.74,0.8,2.95,43,5044,70,1980,65,3.28,74,3.74,3,44,15/08/2017,
5045,5045,24/08/2017,1,37,90,92,96,24,1.03,4.3,0.74,3.09,29,5045,49,1244,41,3.3,52,4.18,2,29,12/10/2017,
5046,5046,15/08/2017,1,37,89,90,84,26,0.96,3.68,0.77,2.96,19,5046,58,1680,52,3.1,53,3.15,2,19,12/10/2017,
5047,5047,25/08/2017,1,37,107,102,119,30,1.63,5.42,0.91,3.02,34,5047,48,1473,48,3.26,66,4.48,2,117,12/09/2017,
5048,5048,17/08/2017,1,37,88,89,84,23,0.89,3.88,0.69,2.98,42,5048,56,1370,45,3.28,41,2.99,2,42,12/10/2017,
5049,5049,30/09/2017,1,38,100,96,93,25,0.96,3.84,0.77,3.09,20,5049,12,300,9,3,12,4,1,20,12/10/2017,
5050,5050,30/08/2017,1,37,80,85,84,21,0.9,4.28,0.66,3.12,25,5050,43,903,31,3.43,33,3.65,2,31,12/09/2017,
5056,5056,18/08/2017,1,37,74,79,85,18,0.83,4.62,0.54,3.02,39,5056,55,1110,36,3.24,46,4.14,2,48,12/09/2017,
5059,5059,02/08/2017,1,36,87,87,84,24,0.95,3.97,0.67,2.8,31,5059,71,1596,56,3.51,62,3.88,3,484,15/08/2017,
5060,5060,18/08/2017,1,37,95,94,97,25,1.15,4.59,0.75,2.99,23,5060,55,1535,49,3.19,54,3.52,2,23,12/10/2017,
5065,5065,20/08/2017,1,37,73,82,97,19,1.22,6.44,0.65,3.41,36,5065,53,969,33,3.41,49,5.06,2,36,12/10/2017,
5067,5067,29/07/2017,1,36,87,90,93,24,0.94,3.91,0.73,3.06,20,5067,75,2007,66,3.29,86,4.29,3,49,15/08/2017,
5070,5070,01/08/2017,1,36,82,83,90,21,0.93,4.43,0.64,3.04,22,5070,72,1545,51,3.3,70,4.53,3,72,15/08/2017,
5077,5077,06/08/2017,1,36,80,80,86,23,1.06,4.61,0.7,3.04,38,5077,67,1340,43,3.21,57,4.25,3,38,12/10/2017,
5078,5078,08/08/2017,1,36,78,83,91,23,1.06,4.63,0.7,3.06,26,5078,65,1456,50,3.43,66,4.53,3,146,15/08/2017,
5079,5079,13/08/2017,1,36,115,104,102,33,1.22,3.69,0.95,2.89,18,5079,60,1695,53,3.13,60,3.54,3,650,15/08/2017,
5090,5090,22/08/2017,1,37,100,92,88,29,1.02,3.53,0.81,2.81,9,5090,51,1335,39,2.92,40,3,2,9,12/10/2017,
5095,5095,25/08/2017,1,37,89,93,86,23,0.8,3.46,0.75,3.27,16,5095,48,1203,41,3.41,43,3.57,2,17,12/09/2017,
5098,5098,30/09/2017,1,38,73,85,82,16,0.67,4.19,0.57,3.56,78,5098,12,192,7,3.65,8,4.17,1,78,12/10/2017,
5102,5102,29/07/2017,1,36,82,88,90,28,1.32,4.71,0.94,3.34,20,5102,75,1587,55,3.47,74,4.66,3,905,15/08/2017,
5105,5105,25/07/2017,1,36,93,94,108,24,1.14,4.77,0.77,3.21,454,5105,79,1895,64,3.38,95,5.01,3,454,12/10/2017,
5106,5106,23/08/2017,1,36,94,92,85,24,0.81,3.38,0.71,2.95,140,5106,50,1410,43,3.05,42,2.98,2,140,12/10/2017,
5114,5114,06/10/2017,1,38,103,96,102,24,1.21,5.06,0.77,3.21,11,5114,6,144,5,3.47,7,4.86,1,11,12/10/2017,
5115,5115,08/08/2017,1,36,94,89,92,23,0.86,3.74,0.65,2.81,90,5115,65,1714,54,3.15,67,3.91,3,322,15/08/2017,
5116,5116,26/07/2017,1,36,89,88,88,24,0.95,3.97,0.74,3.07,12,5116,78,1755,58,3.3,71,4.05,3,145,15/08/2017,
5117,5117,26/07/2017,1,36,96,105,103,25,1.19,4.77,0.91,3.62,29,5117,78,1998,74,3.7,87,4.35,3,40,15/08/2017,
5118,5118,22/08/2017,1,36,76,83,92,18,1.04,5.78,0.55,3.07,19,5118,51,1098,38,3.46,47,4.28,2,56,12/09/2017,
5120,5120,17/08/2017,1,36,101,102,109,27,1.3,4.8,0.86,3.2,16,5120,56,1635,56,3.43,69,4.22,2,16,12/10/2017,
5126,5126,03/09/2017,1,37,97,99,80,27,0.83,3.07,0.77,2.84,35,5126,39,1005,39,3.88,28,2.79,2,245,12/09/2017,
5127,5127,02/08/2017,1,36,88,85,87,22,0.84,3.82,0.61,2.79,20,5127,71,1709,54,3.16,68,3.98,3,52,15/08/2017,
5130,5130,09/08/2017,1,36,87,91,103,23,1.14,4.96,0.73,3.16,30,5130,64,1488,53,3.56,74,4.97,3,75,15/08/2017,
5131,5131,06/08/2017,1,36,94,91,78,25,0.83,3.3,0.73,2.9,17,5131,67,1688,56,3.32,52,3.08,3,29,15/08/2017,
5132,5132,15/08/2017,1,36,82,86,81,20,0.79,3.97,0.6,3.01,25,5132,58,1375,46,3.35,41,2.98,2,40,12/09/2017,
5150,5150,19/08/2017,1,36,95,92,94,25,1.03,4.13,0.71,2.85,32,5150,54,1467,46,3.14,52,3.54,2,46,12/09/2017,
5163,5163,21/08/2017,1,36,90,90,94,25,1.15,4.58,0.75,2.98,35,5163,52,1226,39,3.18,46,3.75,2,35,12/10/2017,
5164,5164,05/08/2017,1,35,70,79,84,14,0.76,5.41,0.47,3.39,19,5164,68,1357,49,3.61,62,4.57,3,72,15/08/2017,
5165,5165,06/08/2017,1,36,98,97,96,28,1.06,3.78,0.9,3.23,15,5165,67,1692,57,3.37,71,4.2,3,34,15/08/2017,
5166,5166,03/08/2017,1,35,83,87,87,20,1.03,5.14,0.64,3.2,39,5166,70,1577,55,3.49,61,3.87,3,39,12/10/2017,
8888,8888,16/05/2017,1,40,66,79,81,10,0.47,4.73,0.31,3.1,35,8888,149,894,30,3.36,47,5.26,2,35,12/10/2017,
9999,9999,30/06/2016,1,41,,,,13,0.59,4.56,0.41,3.17,50,9999,469,1758,53,3.01,73,4.15,2,237,16/05/2017,
